756,-83.5
757,-17.3
758,-18.9
759,-44.4
760,-89.5
761,-83
762,-80.5
763,-98.5
764,-76
765,-8
766,-56
767,-90
768,-83
769,2
770,-14
771,-34
772,-0.7
773,0
774,0
775,-33.7
776,-87
777,-94
778,-88
779,-73.3
780,-77.5
781,-98.5
782,-84
783,-84.5
784,-100
785,-93.5
786,-68.5
787,-59.8
788,-87
789,-95
790,-97
791,-95.5
792,-85
793,-81
794,-86.7
795,-81.5
796,-93.2
797,-100
798,-93.5
799,-39
800,-100
801,-86.5
802,-85.6
803,-95.5
804,-85.5
805,-84
806,-81
807,-76
808,-78
809,-88
810,-97
811,-97
812,-90
813,-93.5
814,-100
815,-100
816,-96.5
817,-96.5
818,-89
819,-81
820,-87.7
821,-93.5
822,-32.5
823,-86
824,-77
825,-82
826,-79.5
827,-21
828,-76.6
829,-98
830,-77.5
831,-91.5
832,-98
833,-101
834,-96.5
835,-96.5
836,-93.2
837,-96
838,-96.5
839,-98
840,-101
841,-85
842,-56.5
843,-85.5
844,-64.6
845,-90
846,-56
847,-76.4
848,-59
849,-88.5
850,-58.4
851,-76
852,-56.1
853,-51.5
854,-26
855,-24.8
856,-70
857,-90
858,-85.6
859,-19.4
860,-40.5
861,-93.5
862,-83.5
863,-35
864,-32
865,-69.5
866,-2.9
867,-80.2
868,-95.5
869,-46.5
870,-21.6
871,-25.1
872,-91.5
873,-58
874,-98
875,-83
876,-70.2
877,-81.5
878,-96.5
879,-91.5
880,-59.5
881,-90
882,-96
883,-22.9
884,-91.5
885,-98
886,-98
887,-74
888,-89.5
889,-84.5
890,-31.2
891,-73.5
892,-88
893,-96.5
894,-92
895,-84.5
896,-16.5
897,-73.5
898,-89.2
899,-101
900,-98
901,-70.2
902,-99.5
903,-83
904,-96
905,-79.5
906,-83
907,-88.5
908,-72.2
909,-65.3
910,-80.5
911,-82
912,-99.5
913,-101
914,-101
915,-93
916,-95.5
917,-97.5
918,-99.5
919,-97.5
920,-86
921,-32.5
922,-74
923,-84.7
924,-98
925,-83.5
926,-82
927,-87.5
928,-96
929,-18
930,-93.5
931,-81.5
932,-84.5
933,-66
934,11
935,-76.7
936,-20.4
937,-68.5
938,-40.4
939,-81.5
940,-88
941,-63.9
942,-101
943,-101
944,-94.5
945,-74
946,-94.5
947,-99.5
948,-96
949,-101
950,-101
951,-52.7
952,-33.9
953,-74
954,-90
955,-83
956,-76.7
957,-40.6
958,-98
959,-96
960,-98
961,-99.5
962,-91
963,-82
964,-91.5
965,-99.5
966,-79.2
967,-82
968,-70.5
969,-63.2
970,-101
971,-91.7
972,-51.1
973,-91.5
974,-96.5
975,-85.5
976,-74
977,-14.1
978,-43
979,-88
980,-101
981,-98
982,-82.5
983,-97.5
984,-101
985,-78.5
986,-79.2
987,-98
988,-75
989,-47
990,-78
991,-97.5
992,-101
993,-74
994,-80.5
995,-87.5
996,-95.5
997,-54.1
998,-99.5
999,-88
1000,-79.4
1001,-98
1002,-90
1003,-101
1004,-92.5
1005,-99.5
1006,-98
1007,-95.5
1008,-97
1009,-91
1010,-72.5
1011,-96
1012,-101
1013,-24.9
1014,-11.705
1015,-0.085
1016,-0.085
1017,-0.085
1018,-0.085
1019,-34.495
1020,-75.5
1021,-99.5
1022,-94.5
1023,-92
1024,-94.5
1025,-93.5
1026,-82.2
1027,-95
1028,-53.8
1029,-96
1030,-101
1031,-63.2
1032,-90.5
1033,-101
1034,-101
1035,-89.5
1036,-92
1037,-99.5
1038,-98
1039,-91
1040,-91
1041,-101
1042,-47.5
1043,-48.5
1044,-30
1045,-25
1046,-73.5
1047,-88.8
1048,-91.5
1049,-87
1050,-99.5
1051,-71
1052,-99.5
1053,-84
1054,-78.5
1055,-83.5
1056,-72.4
1057,-72
1058,-79.5
1059,-4
1060,-85.5
1061,-85.5
1062,-94.5
1063,-96
1064,-93.5
1065,-59.6
1066,-9.5
1067,-73
1068,-76
1069,-87
1070,-75.9
1071,-66.5
1072,-84
1073,-101
1074,24
1075,-85.5
1076,-88.5
1077,-75
1078,-99.5
1079,-91.5
1080,-97.5
1081,-99.5
1082,-25.4
1083,-56
1084,-85.5
1085,-85
1086,-84.5
1087,-77
1088,-78
1089,-84.5
1090,-61.9
1091,-92.5
1092,-64.7
1093,-82.5
1094,-90.5
1095,-101
1096,-99.5
1097,-97.5
1098,-99.5
1099,-99.5
1100,-98
1101,-97.5
1102,-76.5
1103,-70.9
1104,-55
1105,-98
1106,-71.7
1107,-74.5
1108,-39.7
1109,-39.9
1110,-91.5
1111,-101
1112,-99.5
1113,-101
1114,-101
1115,-101
1116,-101
1117,-101
1118,-101
1119,-89
1120,-101
1121,-99.5
1122,-97.5
1123,-99.5
1124,-101
1125,-91.5
1126,-86
1127,-98
1128,-72
1129,-37.5
1130,-24.9
1131,-61
1132,-71.5
1133,-16
1134,-50.5
1135,-70.7
1136,-94.5
1137,-94.5
1138,-87.5
1139,-64.4
1140,-73
1141,-32.5
1142,-89.2
1143,-75.4
1144,-58.2
1145,-93
1146,-70.5
1147,-68.9
